did|mid
75|55447
75|60171
75|77448
75|137548
75|157247
75|204744
75|224301
75|246859
75|291733
75|292822
75|315100
75|335638
75|364544
76|70932
79|256333
80|361223
81|185505
81|195809
83|224424
84|360008
85|66984
86|335225
86|345313
87|8276
87|25048
87|162775
88|63230
88|377710
89|9764
89|78612
89|174529
90|6228
90|25456
90|25703
90|31481
90|95225
90|95227
90|124676
90|126982
90|139349
90|171842
90|172710
90|176414
90|198579
90|199681
90|208787
90|223339
90|271588
90|278162
90|284696
90|303358
90|322881
90|375536
91|222298
92|19910
92|19914
92|27763
92|178242
92|220686
92|284635
92|288236
93|4901
93|7268
93|7713
93|8596
93|8924
93|9391
93|9751
93|15346
93|16554
93|19918
93|20651
93|23040
93|28900
93|33211
93|43147
93|92089
93|100901
93|108641
93|117886
93|127005
93|136868
93|137611
93|152389
93|155165
93|157338
93|162670
93|163782
93|165646
93|172712
93|173844
93|183085
93|206604
93|221641
93|225766
93|226474
93|230066
93|276306
93|285534
93|285540
93|289281
93|323063
93|323688
93|324985
93|332733
93|348929
93|358017
93|358198
93|375556
94|191483
94|275014
95|172576
95|184066
96|281075
97|19723
97|155960
97|270956
97|275637
97|371899
98|178950
98|285969
99|46577
99|186488
99|268580
100|175742
100|284758
101|88475
103|137996
104|20404
104|200518
104|239370
104|244092
104|244093
104|248324
104|258379
104|261938
104|275970
104|305141
104|305216
104|357344
105|16971
107|91258
108|370493
109|318210
110|33240
110|324880
111|33240
111|34535
111|124845
111|201011
111|293718
112|69746
113|202809
113|202810
114|63702
115|255768
115|327044
116|327804
117|238832
118|373380
119|245883
120|178391
121|138786
122|21813
122|138485
122|179397
122|232573
122|288352
123|236537
124|39405
124|65427
124|161117
124|234184
124|299909
124|341772
124|348526
124|358473
125|137844
126|121499
127|107635
127|162567
128|11899
128|129707
128|227741
128|316810
129|8563
129|211360
129|259895
129|282058
129|358655
130|107635
130|162567
131|99606
131|188278
131|199171
131|309015
132|157894
135|118677
136|201491
136|309567
137|335639
138|233251
139|10281
139|122299
139|257347
140|36486
140|38716
140|45444
140|49112
140|49116
140|49120
140|77084
140|144251
140|174386
140|174485
140|193537
140|202096
140|202414
140|226671
140|246555
140|249636
140|266974
140|284680
140|285402
140|322972
140|344201
141|270617
142|123494
142|165612
142|198384
143|69244
144|95713
145|195730
146|68129
148|87225
148|366571
149|80821
149|227509
149|336914
150|150854
151|15862
151|60481
151|103613
151|202256
151|285994
152|131104
152|230428
153|358200
154|354972
156|109821
157|92679
158|274494
159|267265
160|309757
161|320592
164|311259
165|12729
165|14934
165|27949
165|53094
165|54345
165|55366
165|67744
165|74989
165|91407
165|101514
165|101800
165|103505
165|103973
165|112107
165|112157
165|125720
165|128057
165|128058
165|128059
165|159367
165|192963
165|192969
165|207591
165|225559
165|273665
165|277198
165|279826
165|308896
165|322719
165|335174
165|335177
165|339132
165|351557
166|221723
166|296499
167|225778
168|129831
169|289031
170|320396
171|251367
172|121865
173|63933
174|53432
174|120261
174|244664
175|250606
176|219231
177|175906
177|175910
177|226082
177|226734
177|341510
178|152332
179|63411
180|25126
180|77345
180|111137
180|320010
180|341127
181|9756
181|15328
181|28900
181|31479
181|36599
181|36600
181|38325
181|76854
181|109749
181|137952
181|152143
181|183008
181|183076
181|184081
181|186390
181|216703
181|221781
181|221802
181|222463
181|268559
181|268560
181|272991
181|285902
181|288038
181|296607
181|297615
181|300818
181|324996
181|358232
181|361585
181|374186
182|355085
183|125469
184|214676
185|203313
185|308645
186|155057
187|311831
188|8490
188|14510
188|60718
188|144690
188|180609
188|264955
188|339955
188|353779
189|114129
190|176495
190|195145
190|215461
193|44307
193|44800
193|57030
193|61232
193|72244
193|88830
193|93659
193|112495
193|120743
193|128221
193|133427
193|140135
193|144583
193|149420
193|215915
193|235218
193|254532
193|262329
193|272139
193|276754
193|277976
193|282357
193|283865
193|292885
193|305763
193|308393
193|309853
193|316196
193|321532
193|329026
193|329120
193|363740
194|400
194|9125
194|28665
194|36871
194|150350
194|150351
194|165422
194|283944
194|335880
194|361167
195|94254
196|352995
197|6122
198|2108
199|288311
200|108580
201|87553
201|281798
202|95652
203|24862
203|89981
203|351063
204|16539
205|327094
206|320663
207|375347
208|132439
209|64374
210|68346
211|178962
211|242867
211|315963
212|267105
213|215880
214|195106
214|245709
214|317740
215|357125
216|253049
216|299553
217|160973
218|401
218|34071
218|39118
218|42189
218|46978
218|48340
218|84298
218|90211
218|109091
218|128953
218|138180
218|166848
218|173730
218|174722
218|182264
218|192929
218|198016
218|224916
218|243672
218|248932
218|261150
218|276291
218|281199
218|281907
218|310493
218|314911
218|315578
218|321970
218|333617
218|338884
218|341697
218|354595
218|357797
218|357802
218|377301
219|21792
219|46782
219|61557
219|64870
219|69048
219|97204
219|101503
219|107298
219|116733
219|117377
219|143215
219|143417
219|154047
219|157045
219|198049
219|209382
219|218930
219|219919
219|220007
219|241477
219|244088
219|295811
219|302906
219|302948
219|308012
219|348083
219|365668
219|368991
220|82092
220|278526
220|366910
221|29293
222|341146
222|344717
223|269531
223|373811
224|103666
225|68621
226|70701
226|256153
226|377617
228|70048
230|63805
232|7347
232|101761
232|165042
232|308448
233|148047
233|273740
233|353176
234|50081
235|67608
235|67615
235|157251
235|318614
236|16547
237|215138
238|108522
239|14272
239|203850
241|127662
241|173542
242|352707
243|23077
244|202290
244|287065
245|23138
245|85451
245|101664
245|204895
245|270170
246|1123
246|9716
246|117527
246|181435
246|228898
246|373022
247|207858
249|348744
250|258597
251|63594
251|86827
251|175881
251|200053
251|209105
251|217780
251|223549
251|228540
251|268586
251|286666
251|303878
251|320507
251|351076
252|72723
253|289331
256|344279
256|356934
257|108489
258|26508
259|295109
259|307466
259|353671
260|48868
262|237012
263|49443
263|124581
263|139916
263|318524
263|328160
263|377147
264|76534
265|38353
265|63896
265|83508
265|101798
265|107254
265|327878
265|336109
266|172174
267|1447
267|1451
267|288099
268|9942
268|57914
268|80110
268|105604
268|111329
269|9942
269|57914
269|80110
269|105604
270|8527
270|12138
271|27982
271|337458
272|234308
273|241397
274|334644
274|334689
275|349070
276|119408
276|119409
277|220209
278|136928
278|208864
278|313094
280|2252
281|86790
281|258335
281|268821
281|346704
282|84682
282|116441
282|166268
282|278810
282|350083
283|4114
283|25666
283|29020
283|85401
283|183924
283|228863
283|249144
283|299566
283|344368
284|35982
285|311930
286|56234
286|70932
286|204834
286|342753
287|119401
287|277805
288|1985
288|42533
288|261975
289|226924
290|11735
291|19025
292|33963
292|57590
292|161900
292|181623
292|249856
293|353717
294|130059
295|5680
296|26226
296|33526
296|205726
297|2858
297|4507
297|16188
297|23241
297|36679
297|40369
297|83004
297|122451
297|126425
297|137057
297|142017
297|154303
297|155331
297|170676
297|177140
297|179698
297|188747
297|216427
297|229412
297|230172
297|240173
297|267155
297|278900
297|294986
297|358990
297|367235
298|70387
299|100394
300|166101
301|28349
301|34165
301|238188
302|1118
302|133300
302|162805
302|172904
302|255773
302|273137
302|308481
302|311459
302|344939
302|344973
302|374249
302|374666
303|205455
304|69201
304|144368
304|181596
304|181942
304|262206
304|296033
304|304510
304|320548
304|348890
304|376193
305|168049
306|231771
307|22632
307|138384
309|66283
309|158211
309|201588
309|275857
310|323615
311|263894
312|193782
313|26256
313|79611
313|91839
313|117707
313|190269
313|221236
313|245460
313|270587
313|273260
313|274557
313|280833
313|318186
314|378536
315|332150
317|192686
318|50651
320|240515
320|330371
321|16354
321|40246
321|138415
321|231982
321|305080
321|313463
322|356161
323|23382
323|48178
323|52630
323|61186
323|67034
323|69298
323|70092
323|74576
323|80311
323|88803
323|114321
323|114322
323|114324
323|137613
323|199001
323|212519
323|213767
323|225033
323|238328
323|247416
323|277390
323|301859
323|301861
323|307804
323|336111
323|341080
323|351650
323|354782
323|355947
323|371753
325|146482
325|233542
326|281215
328|146663
331|14422
331|151553
332|71227
333|110331
335|127727
335|251340
336|322409
337|307232
338|207599
339|96862
339|152869
340|20719
340|45361
340|45366
340|47241
340|59460
340|77786
340|83120
340|126222
340|131067
340|142827
340|184529
340|245848
340|255593
340|282369
340|299535
340|305619
340|320038
340|335104
340|346958
342|77647
343|334647
344|1091
346|64261
347|17320
349|68614
349|226458
349|272450
349|280313
349|334865
350|8584
350|63866
350|248749
351|110662
352|15440
353|25690
353|199717
354|79256
354|127788
354|145590
354|168355
354|283999
354|285697
354|293439
354|293635
354|293672
354|358905
355|43984
355|328003
355|335262
357|196851
359|5211
359|8865
359|158079
360|147964
361|33173
363|204043
365|151
365|167174
365|276541
367|51117
367|98226
367|126137
367|311102
367|325395
367|325426
367|325480
367|325484
367|325537
367|325729
367|325785
367|326033
367|347632
368|207265
369|268167
371|63602
371|195114
372|149682
372|154521
372|180041
372|262155
372|376520
373|215605
373|259989
373|369027
374|225098
375|55411
376|188722
377|30108
377|262507
378|58691
378|95945
378|212289
378|369013
379|244463
379|373562
380|59372
380|120064
382|170482
383|378057
384|100567
385|265277
386|251452
387|7942
388|137903
391|127515
392|154716
392|314697
392|315172
392|359145
393|220456
393|263758
393|275346
394|18013
395|19052
397|167564
397|351744
398|40138
399|280259
400|367712
402|154551
403|149671
403|178164
404|286785
404|306291
405|10860
405|316022
408|255337
408|255338
408|255339
408|255340
408|255341
409|194044
409|238140
410|214529
412|363896
418|51536
419|164378
420|76197
420|113356
420|215902
420|243243
420|283131
420|283132
420|283133
420|283134
421|348596
422|241021
423|342673
425|92704
427|26418
427|105281
427|191714
427|283718
427|290307
427|340808
428|16922
428|35817
428|39555
428|39859
428|40476
428|41235
428|41237
428|45840
428|55446
428|64081
428|81081
428|88870
428|92685
428|95842
428|110943
428|114593
428|137504
428|142439
428|149726
428|154610
428|167006
428|184986
428|194691
428|209153
428|228677
428|236890
428|266576
428|288470
428|319185
429|63208
429|300229
429|300230
429|300234
430|276942
431|295592
432|259381
432|357996
433|288923
434|313936
435|5553
435|7126
435|20289
435|44676
435|64382
435|83617
435|83672
435|112441
435|137504
435|190536
435|190580
435|193693
435|239761
435|256428
435|272092
435|272962
435|285439
435|315050
437|96191
438|89243
438|112371
438|168229
438|297470
439|171685
440|26047
440|28247
440|139421
440|312146
441|322499
441|326666
442|65702
443|112524
443|193657
443|342840
443|361747
444|43999
445|13332
445|286504
446|196407
448|359063
449|359063
450|347911
451|254802
451|260255
452|81785
452|104847
452|288993
452|329938
454|74188
455|22928
455|22929
455|106846
455|106857
455|106858
455|106864
456|97100
456|358519
457|310142
458|212220
459|4356
461|127106
461|194958
461|309562
461|321470
461|321471
461|321472
461|321473
462|70015
462|355202
462|363327
463|70182
464|193385
464|294617
466|78531
467|181658
468|247972
469|173447
470|32212
470|159202
470|215456
471|367884
472|320155
473|341931
474|76414
475|36264
475|60401
477|153644
478|99606
478|199171
479|36110
481|371812
482|330484
482|373112
483|152500
484|177656
485|164658
485|261790
486|154671
487|69860
487|69861
487|69862
487|69863
487|69864
487|69865
487|167633
487|245268
487|360511
489|229695
489|235889
490|111785
490|346156
491|233894
492|130057
492|275366
493|44238
493|82683
494|144058
495|194276
497|70215
497|277052
497|286701
497|291253
497|295602
498|327185
499|183343
499|348336
500|82300
502|75607
503|299220
504|70365
504|185815
504|308070
505|374595
506|130935
506|175760
507|97026
508|76034
508|122551
508|140469
508|144019
508|144111
508|157608
508|179287
508|245096
508|274127
508|281700
508|286172
508|289920
508|316469
508|356864
508|372806
508|376006
509|161742
510|112003
511|217908
512|10337
512|13410
512|30617
512|32703
512|37253
512|49733
512|49737
512|54390
512|57985
512|58619
512|60242
512|61580
512|61607
512|67151
512|68821
512|79102
512|85085
512|85826
512|93794
512|95117
512|105349
512|108511
512|141208
512|149808
512|153181
512|158258
512|172069
512|177610
512|191585
512|192039
512|192215
512|192294
512|202888
512|203216
512|203564
512|211425
512|213258
512|214160
512|215293
512|216889
512|216962
512|246770
512|250805
512|254459
512|266183
512|269370
512|270941
512|273726
512|283427
512|289637
512|300103
512|302872
512|302888
512|305400
512|310964
512|315149
512|317980
512|324936
512|329069
512|341978
512|356610
512|362232
512|362387
512|362647
512|364389
512|367614
512|367971
512|368324
513|96426
514|178552
514|240999
515|23261
515|32862
515|47607
515|115431
515|159642
515|178483
515|217047
515|222444
515|237257
515|322270
515|349586
516|89795
518|241308
519|173316
520|53554
520|75805
520|86808
520|142443
520|177434
520|203222
520|203666
520|233748
520|236726
520|247884
520|314263
520|324982
520|328525
520|337373
521|234409
523|3240
523|118652
523|177031
523|222365
523|226203
523|254630
523|266831
523|274837
523|312743
523|329911
523|360956
524|143990
524|190026
525|371768
526|2719
527|29779
527|68900
527|69973
527|84680
527|116314
527|243773
527|338620
528|213933
528|275399
529|156790
530|351858
531|61406
534|38824
535|240730
535|270896
536|7566
536|8907
536|27730
536|78281
536|82211
536|85332
536|86692
536|109037
536|122694
536|139824
536|141837
536|153237
536|160162
536|168442
536|183460
536|184074
536|285497
536|286220
536|288036
536|297014
536|297056
536|299587
536|303005
536|306070
536|318421
536|323934
536|350763
536|351086
536|358104
536|373655
537|162152
538|172539
539|83104
539|323647
540|138038
541|18623
542|284815
543|122312
543|304919
543|331275
544|53561
544|117630
545|82656
545|144745
545|203370
546|93636
546|130090
546|204746
546|235887
548|265674
549|314573
550|262544
551|154288
553|130045
553|213978
553|228436
553|320018
553|321557
554|124647
556|70043
558|29622
558|147338
558|304656
559|82139
559|299522
560|205326
561|183340
561|219923
562|373867
563|134867
563|316829
563|352427
563|357414
563|375672
564|372025
565|41863
565|236538
565|292742
566|104419
566|375913
567|95609
569|47287
569|109531
569|109532
569|120392
570|4204
570|268101
571|262473
572|127332
573|159317
573|169664
574|43054
574|214415
574|378155
575|152471
575|171747
575|258685
576|238415
576|354347
577|23373
577|96335
577|143782
577|212506
578|176432
579|365465
580|42924
581|25499
581|102186
581|104408
581|327122
582|149587
583|217248
585|2191
586|131890
587|226748
588|172950
589|26600
589|78620
589|89431
589|111308
589|130571
590|79222
590|288299
591|122791
591|157947
591|291642
592|5186
592|25237
592|33581
592|189304
592|268417
592|268418
592|283035
592|289565
593|56106
593|116069
593|173834
593|182866
593|308210
593|325428
593|325429
593|325434
593|369156
594|219400
595|7570
595|34393
595|42058
595|46096
595|52086
595|59796
595|69479
595|69480
595|97670
595|102526
595|121507
595|127553
595|137025
595|148491
595|213832
595|227388
595|248732
595|267993
595|300049
595|326443
595|329601
595|364463
595|366114
595|368330
596|320493
597|28049
597|62064
597|119739
597|368136
598|38183
598|333323
599|118830
600|127435
601|140423
602|144049
602|156639
602|272792
602|273228
602|359703
602|365595
604|337341
606|86672
607|76461
607|164928
607|183117
608|249057
609|377392
610|3139
611|1408
611|76147
611|127437
611|198908
611|208090
611|225785
611|229617
611|269109
611|270983
611|283404
611|292268
611|292273
611|348200
611|348215
612|43706
612|85692
612|228942
612|254111
612|275620
612|309688
612|341355
613|36948
614|4270
614|8393
614|8404
614|18121
614|18481
614|18787
614|26202
614|27521
614|37722
614|38424
614|60973
614|62306
614|76430
614|86845
614|141055
614|166098
614|173442
614|176069
614|179446
614|181554
614|184208
614|204372
614|228716
614|228884
614|233241
614|250589
614|284818
614|284956
614|285422
614|285490
614|286534
614|287534
614|287541
614|292971
614|298855
614|308452
614|320172
614|320174
614|320176
614|320838
614|320909
614|324759
614|339679
614|349115
615|8977
615|14388
615|79679
615|269305
616|26203
617|34607
617|187800
618|60453
618|312508
618|320713
619|263663
620|137061
620|248805
620|358019
621|5980
621|14726
621|19721
621|42644
621|48831
621|64832
621|74161
621|96320
621|103731
621|105221
621|112275
621|144342
621|148090
621|193785
621|196688
621|216891
621|222403
621|230270
621|234310
621|253061
621|307229
621|343729
621|349882
621|354048
621|375832
622|300528
624|14708
626|18790
627|174301
628|146477
629|99467
629|239266
630|58674
631|282268
632|85580
632|371704
633|268272
634|83891
634|221890
634|352943
636|86047
636|267876
638|226442
639|52921
639|61209
639|133199
639|212507
639|257318
639|292732
639|338261
639|361724
640|247176
641|246193
642|51735
643|22765
644|52626
644|71057
644|71061
644|105667
644|170936
644|273916
644|286077
644|355584
645|218747
646|357726
647|236013
648|19485
648|24999
648|25062
648|25521
648|27990
648|28246
648|53000
648|53673
648|57092
648|74607
648|74837
648|82233
648|85556
648|85565
648|94830
648|101712
648|103782
648|104056
648|145215
648|152226
648|199814
648|212453
648|214211
648|234423
648|271988
648|281707
648|333748
648|351624
648|351659
648|376676
648|376837
649|74574
650|25810
650|101985
651|55231
652|51850
652|70908
652|104084
652|293901
653|23190
653|75365
653|145135
653|171417
653|208141
653|254337
653|312529
654|163034
655|103761
655|294731
656|112699
657|2225
657|27680
657|28719
657|29241
657|39039
657|279268
657|293401
657|325323
657|325965
657|369334
658|292738
659|215047
660|345607
661|28009
663|345607
664|103522
664|114872
664|221883
665|110746
666|279274
666|283676
667|3512
667|5976
667|14791
667|21129
667|21700
667|22653
667|54067
667|55088
667|55372
667|60113
667|61349
667|69767
667|70041
667|71374
667|80279
667|87135
667|100266
667|103427
667|103648
667|103649
667|103650
667|103692
667|103730
667|103806
667|105895
667|115995
667|132638
667|135281
667|157322
667|159350
667|159742
667|160726
667|169085
667|190424
667|193351
667|194624
667|199847
667|206573
667|210179
667|218093
667|225694
667|237801
667|238761
667|246875
667|248785
667|249792
667|251592
667|255545
667|257567
667|259346
667|259726
667|272567
667|280275
667|293370
667|307721
667|307724
667|326063
667|327517
667|328162
667|332562
667|332581
667|332582
667|332588
667|336210
667|346357
667|349089
667|350901
667|352942
667|353268
667|353544
667|353654
667|355997
667|356673
667|357179
667|374611
668|257910
669|223927
669|349069
670|45302
670|185594
671|247428
672|13449
674|20711
674|80165
674|80232
674|225548
675|249778
675|336205
676|146575
677|55120
677|195298
677|284892
678|235668
678|287802
679|197928
679|370164
680|14668
681|214827
681|249245
682|63906
682|318287
683|30399
683|160088
684|8791
684|42231
684|124866
684|125423
684|183102
684|212640
684|216664
684|268770
684|268933
684|335402
684|335403
684|369108
684|369109
684|369110
685|2918
685|189168
685|369661
686|297411
687|90913
688|303097
689|110285
689|365439
690|50012
691|315986
691|337989
696|149318
699|72139
700|195276
701|179773
702|175252
704|247600
704|307737
705|225665
705|274522
706|330367
707|113717
708|13493
708|85319
708|88608
708|88610
708|164937
708|174375
708|176036
708|181927
708|198708
708|198740
708|309672
708|322695
708|323641
708|333015
708|375039
709|216727
710|270315
711|217328
711|289791
712|22006
713|166023
714|125672
714|264128
715|16155
715|226748
716|78984
716|144822
717|8567
717|59034
717|94917
717|312399
718|21305
718|129957
719|28440
720|4960
721|23194
722|85325
723|76459
723|85314
723|123737
723|141846
723|164951
723|268070
724|4099
724|9326
725|98532
725|126926
725|203234
725|209575
725|262861
725|281370
725|358016
726|179628
727|49660
727|124683
727|254781
728|138423
728|226582
728|322898
728|368079
729|6344
729|15400
729|19047
729|36592
729|51006
729|60632
729|79215
729|80076
729|102058
729|102059
729|125950
729|126819
729|136324
729|159876
729|165520
729|171490
729|200547
729|226553
729|227052
729|227182
729|247087
729|267492
729|284665
729|285229
729|288153
729|288163
729|288174
729|293652
729|295226
729|370278
729|370298
729|370519
729|371201
729|371940
729|371942
729|373260
730|245670
731|348654
732|145541
733|49200
733|60654
733|75768
733|144282
733|239161
733|262020
733|371933
734|204114
735|72211
736|246919
737|166296
737|319312
737|354600
738|255561
738|295641
739|174811
740|55425
740|156891
741|248563
742|147782
742|171281
743|98326
743|337202
744|122331
744|154249
744|192648
744|192655
744|193388
744|220194
744|296207
744|314765
744|322311
744|338708
745|110925
745|111282
745|115424
745|120315
745|132241
745|198277
745|207225
745|265689
745|268355
745|320610
746|69793
746|169092
746|195749
746|343482
747|4062
748|124209
748|176095
748|193293
748|282231
748|324141
749|58172
749|67386
749|80866
749|206673
749|234480
749|316162
750|184322
751|23304
751|257432
752|104120
753|2491
754|18713
756|266759
757|1305
758|296730
758|355383
759|309013
760|228192
762|286251
762|338080
763|125604
766|109016
767|341994
768|46697
768|331889
769|306613
770|125260
771|199385
771|246841
771|291877
772|353988
773|65584
773|199487
773|335686
774|31450
774|142384
774|241338
776|290546
777|214234
778|324130
778|343963
779|262027
780|65436
781|21387
782|70495
782|189345
782|224878
784|37488
786|113842
786|131399
786|131709
787|171317
788|334743
789|263694
790|78402
790|132409
790|161832
790|211320
791|43190
791|283825
792|18948
792|68580
792|121231
792|194432
792|281600
794|121942
794|140292
794|245669
795|161606
795|296669
796|136529
796|269357
797|356129
798|207810
798|253556
799|180135
800|262912
801|16754
801|35887
801|91519
801|179902
801|224435
801|227905
801|252807
801|253749
801|258703
801|349313
801|374460
802|34200
803|172154
803|358094
804|31530
805|23697
806|6033
806|6034
806|57849
806|174281
806|263878
807|254402
808|22821
808|147885
809|34503
809|82340
809|182802
809|301427
809|357600
810|80449
811|9572
811|92676
812|226661
813|103180
814|78615
814|125396
814|206751
815|336770
816|44417
817|107342
818|156237
818|293408
819|91104
820|375623
820|375624
821|23329
821|23436
821|105373
821|161716
821|322492
822|126910
822|215448
822|268071
822|282029
823|9251
823|12634
823|15304
823|15331
823|17721
823|21412
823|35619
823|38484
823|49179
823|63982
823|87719
823|88280
823|88281
823|94904
823|99818
823|103573
823|111361
823|125343
823|130509
823|136708
823|152224
823|159659
823|162307
823|162703
823|171975
823|172652
823|173569
823|173797
823|173971
823|174654
823|178410
823|181667
823|181975
823|198427
823|200798
823|212281
823|212317
823|252082
823|283967
823|294132
823|295036
823|303060
823|323068
823|335985
823|349705
823|349706
823|352808
823|357605
823|370396
823|370514
823|370636
823|376621
823|377499
823|377517
823|378191
823|378604
824|229972
825|202874
826|28783
826|132612
826|170855
826|181520
826|202782
826|221811
826|246590
826|260012
826|320891
827|61008
827|250634
828|96480
828|296419
829|8344
829|8349
829|12642
829|21986
829|23187
829|86601
829|103604
829|107648
829|110404
829|114004
829|175849
829|180132
829|209294
829|293676
829|301238
829|308302
829|308427
829|370769
829|371396
829|374151
829|374319
829|378225
829|378574
830|326069
831|198986
832|182909
833|136097
833|136136
833|285808
833|294033
833|325315
834|168624
836|1163
836|17861
836|54652
836|58757
836|64294
836|70145
836|76162
836|80179
836|82580
836|87495
836|96169
836|101131
836|108264
836|130756
836|138362
836|146420
836|148752
836|153889
836|164150
836|166204
836|166342
836|188627
836|188669
836|202471
836|206564
836|230964
836|231041
836|236584
836|248907
836|249072
836|261011
836|275646
836|288881
836|295397
836|318127
836|337025
836|340131
836|340199
836|345177
836|345320
837|209040
838|131241
838|207981
839|68351
839|90979
839|176140
839|189424
839|283055
839|293943
839|357693
839|370159
839|374772
840|86637
840|184146
841|183432
841|211454
841|228862
841|281491
842|285619
843|183979
843|196854
844|120576
845|34510
846|182242
847|75803
848|240056
850|136388
850|165142
851|135209
851|174866
852|62831
852|179748
853|82868
853|125030
853|126766
853|156660
853|182136
853|294247
853|307553
853|309488
853|355382
854|294768
855|173706
856|116123
856|146667
857|188808
858|8101
858|17710
858|17728
858|19516
858|21983
858|22019
858|27764
858|34059
858|34502
858|35624
858|38490
858|39085
858|43291
858|57595
858|77079
858|97882
858|102530
858|103881
858|111312
858|140632
858|140704
858|144361
858|162508
858|172012
858|172936
858|173572
858|173669
858|173765
858|173770
858|173788
858|173808
858|173968
858|174392
858|174393
858|176941
858|177818
858|210521
858|210523
858|210526
858|227235
858|293434
858|295264
858|308306
858|323921
858|370527
858|371895
858|374316
858|377494
858|377548
858|377560
860|229671
862|20460
862|26238
862|30736
862|30737
862|123107
862|123108
862|123109
862|123111
862|277456
862|307186
863|273170
863|313983
864|175369
864|175370
864|175371
864|175372
864|175373
865|1751
866|266568
867|90047
868|191254
868|211787
868|278885
869|295261
870|93066
871|20065
872|108322
873|35614
876|71802
876|76157
876|166105
876|166289
876|301526
877|138269
877|185070
877|206660
877|278627
877|295374
877|310522
877|313034
877|328840
877|364252
878|87922
879|345266
880|38464
880|82317
880|99549
880|124206
880|174106
881|120227
882|79299
883|283692
883|375680
884|371348
886|7596
886|8910
886|10982
886|11741
886|12127
886|12644
886|12648
886|25595
886|25618
886|29587
886|38460
886|43279
886|51338
886|77425
886|83319
886|86688
886|102533
886|140594
886|140606
886|146984
886|156221
886|163089
886|171984
886|172006
886|175851
886|175853
886|177127
886|181682
886|275757
886|285252
886|294125
886|295251
886|295492
886|303017
886|303056
886|307161
886|325354
886|351048
886|357606
886|370369
886|370773
886|371299
886|373248
886|378185
886|378203
887|172443
887|223604
887|357243
888|174683
888|186237
888|259973
888|286716
888|304501
888|305463
892|27821
892|174884
893|27745
893|78532
893|219894
895|8063
895|15317
895|22203
895|22205
895|25440
895|27531
895|28737
895|28896
895|31452
895|31478
895|38324
895|58437
895|97641
895|97917
895|99170
895|100222
895|111834
895|126915
895|140614
895|144483
895|147349
895|152147
895|152153
895|152154
895|152160
895|153304
895|159962
895|172948
895|174413
895|175967
895|175978
895|181643
895|181661
895|184307
895|186385
895|202010
895|202113
895|202411
895|221512
895|271037
895|284693
895|285218
895|297063
895|303354
895|303355
895|323007
895|323688
895|327314
895|358490
895|360657
895|370741
895|373799
895|375555
895|375924
896|155166
897|310614
899|285538
899|370252
900|165717
901|30529
902|111831
902|204944
904|80010
904|339983
905|69776
907|8692
907|147081
907|274345
907|281442
909|27753
909|213279
909|268575
910|261052
911|162239
912|221837
913|284307
914|282815
915|186485
916|226451
917|333797
918|375554
919|44737
919|175257
919|263937
919|286827
919|319791
920|137300
920|373530
921|370263
922|58951
923|15312
924|14458
924|26085
924|226737
924|268582
924|272458
924|303390
925|338150
926|237840
927|90920
927|104351
927|171015
928|162198
929|24365
929|35554
929|98980
929|153935
929|325596
929|325752
929|375854
930|263367
930|305013
931|367690
932|59228
932|83352
934|175365
935|15799
935|290201
936|261115
937|201413
938|107272
938|126918
938|135417
939|238422
940|302327
941|146819
943|56764
943|81653
